AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2022;25923;3;ESCUELA ESP. PADRE PIO;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;27;0;19;0;0
2022;25926;8;COLEGIO POLIV. JERUSALEN DE LAMPA;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;1;2016;EMERGENTE;1;932;932;327;327;1259
2022;25927;6;ESCUELA BASICA TERRA DI BIMBI;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;0;86;0;125;0;0
2022;25929;2;COLEGIO PADRE PEDRO ARRUPE SAGRADA FAMILIA;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;1;1;2021;EMERGENTE;1;660;660;337;337;997
2022;25932;2;COLEGIO DE ADULTOS LONDON DE LA FLORIDA;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;56;0;25;0;0
2022;25933;0;ESCUELA BASICA ALBORADA SCHOOL;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;1;2021;EMERGENTE;1;167;167;67;67;234
2022;25935;7;ESCUELA ESPECIAL LA ISLA;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;1;54;0;20;0;0
2022;25936;5;COLEGIO NUEVO HORIZONTE DE PUENTE ALTO;13;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;1;1;2020;EMERGENTE;1;527;527;195;195;722
2022;25937;3;ESC. DE PARV. Y ESPECIAL COMUNICA;13;136;13602;EL MONTE;135;TALAGANTE;3;2;0;1;1;2022;EMERGENTE;1;44;12;10;2;14
2022;25938;1;LICEO DE ADULTOS CEIA DE LA PINTANA;13;131;13112;LA PINTANA;136;CORDILLERA;2;1;0;1;0;0;SIN SEP;1;96;0;22;0;0
2022;25940;3;ESCUELA DE PARV. PARQUE O'HIGGINS;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;1;0;0;SIN SEP;1;3;0;13;0;0
2022;25941;1;ESCUELA PART. SPRING COLLEGE N_ 2;13;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;3;2;0;1;1;2021;EMERGENTE;1;69;69;64;64;133
2022;25944;6;ESCUELA PART. PARTHENON COLLEGE;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;1;2018;EMERGENTE;0;227;227;254;0;227
2022;25946;2;ESCUELA PARVULOS MY SECOND HOME;13;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;0;7;0;7;0;0
2022;25950;0;COLEGIO SEMPER ALTIUS;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;1;2022;EMERGENTE;1;81;81;34;34;115
2022;25951;9;COLEGIO DE ADULTOS CARELMAPU DE CONCHALI;13;131;13104;CONCHALÍ;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;50;0;24;0;0
2022;25952;7;ESCUELA DE PARV. BERNARD COLLEGE DE SAN BERNA;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;1;2021;EMERGENTE;1;55;55;41;41;96
2022;25953;5;ESC. ESP.PART. SAN AGUSTIN DE INDEPENDENCIA;13;131;13108;INDEPENDENCIA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;32;0;25;0;0
2022;25954;3;ESC. BAS. Y ESP. NTRA. SRA. DE LAS NIEVES;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;1;2021;EMERGENTE;1;330;330;128;128;458
2022;25958;6;ESCUELA BASICA N°2047 MIRASOL DE SANTIAGO;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;4;3;0;1;0;0;SIN SEP;0;5;0;18;0;0
2022;25959;4;ESC. ESPECIAL HOSPITAL SAN JUAN DE DIOS;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;1;0;0;SIN SEP;1;8;0;1;0;0
2022;25960;8;CENTRO EDUC. PADRE ALBERTO HURTADO DE SAN BER;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;0;1;1;2021;EMERGENTE;1;766;727;262;248;975
2022;25961;6;COLEGIO PALMARES;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;0;309;0;557;0;0
2022;25964;0;ESCUELA ESP. PART. ACONCAGUA DE BATUCO;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;41;0;21;0;0
2022;25965;9;ESCUELA ESP. LAS BARRANCAS;13;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;36;0;12;0;0
2022;25966;7;ESCUELA DE PARVULOS N°2053 `CAMINO DE VIDA`;13;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;1;2021;EMERGENTE;1;7;7;11;11;18
2022;25969;1;COLEGIO TERCER MILENIO;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;0;388;0;445;0;0
2022;25970;5;ESCUELA BAS. Y ESP. EDUCAR;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;1;2021;EMERGENTE;1;56;42;9;1;43
2022;25971;3;ESCUELA ESP. ESTACION ACUARELA;13;131;13106;ESTACIÓN CENTRAL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;18;0;14;0;0
2022;25972;1;ESCUELA ESP. DIVINO MAESTRO DE CERRILLOS;13;131;13102;CERRILLOS;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;40;0;17;0;0
2022;25976;4;ESC. BASICA Nº 136 SAN SEBASTIAN DE PAINE;13;134;13404;PAINE;132;SANTIAGO SUR;3;2;0;1;1;2016;EMERGENTE;1;262;262;175;175;437
2022;25977;2;COLEGIO DE AD. SANTA MARIA DEL TRABAJO DE EST;13;131;13106;ESTACIÓN CENTRAL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;23;0;10;0;0
2022;25979;9;ESCUELA DE PARV. CIUDAD BEBE;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;1;2021;EMERGENTE;1;3;3;6;6;9
2022;25982;9;CENTRO EDUCACIONAL DE ADULTOS PADRE ALBERTO HURTADO;13;136;13604;PADRE HURTADO;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;1;35;0;19;0;0
2022;25983;7;ESCUELA DE PARVULOS TERESITA;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;7;0;9;0;0
2022;25984;5;COLEGIO DREYSE BELSER;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;1;2019;EMERGENTE;0;214;214;131;0;214
2022;25988;8;COLEGIO JUAN LUIS UNDURRAGA ANINAT;13;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;1;1;2021;EMERGENTE;1;1007;1007;494;494;1501
2022;25991;8;ESCUELA BAS. AMANKAY DE LAMPA;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;1;1;2021;EMERGENTE;1;305;305;197;197;502
2022;25993;4;ESCUELA ESP. SAN JUAN DE DIOS;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;0;0;SIN SEP;1;3;0;0;0;0
2022;25994;2;ESCUELA ESP. PABLO NERUDA DE LA FLORIDA;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;39;0;27;0;0
